Questions about Vitoria (simple):;;
1;What is the capital of Espirito Santo? Vitória. 		
2;How many habitants does Vitoria have? 370,000 habitants.
3;What is the name of a bay that surrounds Vitoria? Vitória Bay and the Santa Maria, Bubu, Marinho, and Aribiri rivers.
4;What kind of product can i buy in Vitoria? 	Weaving, ceramics, fibers.
5;What are some typical foods from Vitoria? Moqueca and torta capixaba.
6;How many bridges connect Vitória Island to the mainland? Seven bridges.
7;What is the rainiest month in Vitória? November.
8;What are the main cultural influences in Espírito Santo? European, Indigenous, and African influences.
9;What is the highlight of craftsmanship in Vitória? The creation of clay pots.
10;Which annual festival celebrates the tradition of the panel makers? The Festa das Paneleiras. 
Questions about Service Robots (simple):;;
11;What does the International Organization for Standardization (ISO) define as a "service robot"? A robot “that performs useful tasks for humans or equipment excluding industrial automation applications”.
12;What kind of job does a service robot typically perform? A job that is dirty, dull, distant, dangerous or repetitive.
13;Who developed the first industrial robot arm, "Unimate"? Joseph F. Engelberger.
14;How are service robots categorized? They are categorized according to personal or professional use.
15;What is one of the most popular domestic service robots? The Roomba vacuum cleaner.
16;What do robots require according to ISO 8373? A “degree of autonomy”, which is the “ability to perform intended tasks based on current state and sensing, without human intervention”.
17;What kind of tasks do domestic robots perform? Tasks that humans regularly perform in non-industrial environments, like cleaning floors, mowing the lawn and pool maintenance.
18;How can service robots help people with disabilities or older people? They may help them to live independently.
19;Are service robots only fully autonomous? No, they range from partial autonomy—including human-robot interaction—to full autonomy, without active human intervention.
20;What is an example of a service robot that became popular with smart home technology? The robotic lawn mower.                
Generic Questions(simple):;;
21;What is the hero’s name in The Legend of Zelda? 	Despite most people’s believes, he’s called Link.
22;What are the names of the ghosts who chase Pac Man and Ms. Pac Man? 	Inky, Blinky, Pinky, and Clyde.
23;What’s the name of the Mythbusters’ crash test dummy? 	The Mythbusters’ crash test dummy is called Buster.
24;What is an Oxford comma? 	The hotly contested punctuation before a conjunction in a list.
25;Who was the captain of the Enterprise in the pilot episode of Star Trek? 	The captain of the Enterprise in the pilot episode was Captain Pike.
26;What is the symbol for the modulus operator in C? 	The percentage symbol is used as modulus operator in C.
27;What function is automatically called at the beginning of a C++ program? 	The main function.
28;Which computer programming languages was introduced by IBM in 1957? 	Fortran was introduced by IBM in 1957.
29;Who is considered as the first programmer? 	The first programmer was Ada Lovelace.
30;Has a robot ever killed a person? 	The first known case of robot homicide occurred in 1981, when a robotic arm crushed a Japanese Kawasaki factory worker.
31;Who was HitchBOT? 	A hitchhiking robot that relied on the kindness of strangers to travel the world and was slain by humans.
32;Are self-driving cars safe? 	Yes. Car accidents are product of human misconduct.
33;Who invented the compiler? 	Grace Hoper. She wrote it in her spare time.
34;Who created the Python Programming Language? 	Python was invented by Guido van Rossum.
35;Is Mark Zuckerberg a robot? 	Sure. I’ve never seen him drink water.
36;Why did you run away? 	I heard an electric can opener.
37;What kind of salad do robots like? 	Salads made with ice-borg lettuce.
38;What did you ate for lunch? 	I had a byte.
38;Why did robots get angry so often? 	People kept pushing our buttons.
39;Why shouldn’t R2D2 be allowed in movies? 	He says so many foul words they have to bleep everything he says!
40;What’s your favorite style of music? 	I like electronic and heavy Metal.
